id,w1,w2,s1,s2,beta,activate_layer3
1985739,0.5,0.5,0.7507,0.7523,0.0166,0
1984079,0.4615,0.5385,0.6798,0.804,1.2424,0
1982433,0.4883,0.5117,0.6547,0.7231,0.6841,1
1981367,0.486,0.514,0.7155,0.7903,0.748,0
1981123,0.4981,0.5019,0.6794,0.7068,0.2743,1
1980589,0.4941,0.5059,0.772,0.8206,0.4859,0
1980484,0.3813,0.6187,0.6953,0.9153,2.1998,0
1979320,0.419,0.581,0.6918,0.8726,1.8081,0
1974699,0.3615,0.6385,0.6379,0.8764,2.3852,0
1966937,0.4668,0.5332,0.7011,0.8164,1.1532,0
1966863,0.3984,0.6016,0.7124,0.9154,2.0301,0
1966671,0.4569,0.5431,0.6722,0.8036,1.3146,0
1966522,0.3405,0.6595,0.6746,0.9317,2.5715,0
1965928,0.3883,0.6117,0.6904,0.9036,2.1318,0
1963015,0.4191,0.5809,0.6696,0.8503,1.8069,0
1539698,0.5,0.5,0.8324,0.828,0.0446,0
1539691,0.4961,0.5039,0.7823,0.8217,0.3946,0
1539643,0.5001,0.4999,0.8408,0.8341,0.0669,0
1539693,0.4954,0.5046,0.7931,0.8359,0.4278,0
1539690,0.5023,0.4977,0.8057,0.7756,0.3007,0
1539611,0.5006,0.4994,0.7408,0.7247,0.1609,1
1539663,0.4975,0.5025,0.7311,0.7625,0.3142,0
1539683,0.4993,0.5007,0.7927,0.8094,0.1673,0
1539686,0.5006,0.4994,0.8249,0.8096,0.1532,0
1539469,0.4902,0.5098,0.7487,0.8113,0.6262,0
1539604,0.4958,0.5042,0.7311,0.772,0.4089,0
1539614,0.5001,0.4999,0.7752,0.7706,0.0461,0
1539626,0.4959,0.5041,0.761,0.8014,0.4043,0
1539627,0.4996,0.5004,0.757,0.7697,0.127,0
1539628,0.4993,0.5007,0.8169,0.8334,0.1644,0
1539629,0.5,0.5,0.8248,0.8247,0.001,0
1539635,0.4905,0.5095,0.6932,0.755,0.6175,0
1539654,0.499,0.501,0.7809,0.8005,0.1965,0
1539612,0.4965,0.5035,0.8339,0.8711,0.3722,0
1539674,0.4847,0.5153,0.6783,0.7565,0.7818,0
1539669,0.5053,0.4947,0.8261,0.7803,0.4583,0
1539546,0.4713,0.5287,0.721,0.8282,1.0724,0
1539673,0.5,0.5,0.7725,0.7692,0.0333,0
1539671,0.4875,0.5125,0.7807,0.8513,0.7062,0
1539667,0.4847,0.5153,0.7429,0.8211,0.7817,0
1539647,0.5,0.5,0.731,0.7347,0.0365,1
1539125,0.5006,0.4994,0.7597,0.744,0.1565,0
1539638,0.4961,0.5039,0.6973,0.7368,0.3943,1
1539623,0.5005,0.4995,0.8271,0.8123,0.1482,0
1539632,0.4422,0.5578,0.7029,0.8553,1.5241,0
